name,salary,points,position,id
Orleans Darkwa,3000,0.0,RB,546645
Roosevelt Nix,3000,0.0,RB,546742
Rod Streater,3000,1.8,WR,546942
Marcus Murphy,3000,1.0,RB,553238
Andre Williams,3000,4.0,RB,553277
Rod Smith,3000,0.5,RB,553688
Walt Powell,3000,0.0,WR,555500
Malcolm Johnson,3000,0.7,RB,555630
James White,3000,2.5,RB,556294
Brandon Coleman,3000,4.4,WR,556468
Michael Burton,3000,0.6,RB,556483
Albert Wilson,3000,1.8,WR,556955
Corey Grant,3000,0.5,RB,557163
DeAndrew White,3000,1.9,WR,557177
Matt Hazel,3000,0.0,WR,557279
Keith Mumphery,3000,4.0,WR,557363
Justin Hardy,3000,0.0,WR,557415
J.J. Nelson,3000,-0.5,WR,557431
Andre Holmes,3000,3.1,WR,557954
Corey Fuller,3000,1.9,WR,558612
Geremy Davis,3000,0.8,WR,558661
Jamize Olawale,3000,2.2,RB,559334
Jerick McKinnon,3000,2.0,RB,563824
Corey Brown,3000,5.1,WR,568316
Zach Zenner,3000,1.5,RB,568874
Terrence Magee,3000,0.0,RB,589993
Terron Ward,3000,3.3,RB,590686
Chris Conley,3000,2.3,WR,591801
Quinton Patton,3000,3.6,WR,592833
Sammie Coates,3000,0.7,WR,593296
Terrance West,3000,1.6,RB,595842
Phillip Dorsett,3000,5.3,WR,596417
Rashad Ross,3000,4.0,WR,598945
Marqise Lee,3000,4.1,WR,599006
Darren Waller,3000,0.8,WR,600191
DeVante Parker,3000,2.2,WR,602241
Bruce Ellington,3000,2.8,WR,604917
Bradley Marquez,3000,0.0,WR,605328
Eric Ebron,3000,11.2,TE,605752
Devin Smith,3000,5.2,WR,606485
Raheem Mostert,3000,0.0,RB,606501
Josh Robinson,3000,2.4,RB,607390
De'Anthony Thomas,3000,4.0,WR,607847
Brittan Golden,3000,0.0,WR,615893
Cordarrelle Patterson,3000,1.0,WR,690153
Damien Williams,3000,4.2,RB,691283
Mike Davis,3000,3.0,RB,694015
Devin Funchess,3000,1.7,WR,696127
Cameron Artis-Payne,3000,1.0,RB,727272
Lucky Whitehead,3000,0.2,WR,729041
#Jaelen Strong,3000,19.3,WR,732795
Adam Thielen,3000,4.2,WR,733643
Khiry Robinson,3000,8.5,RB,734347
Taylor Gabriel,3000,6.0,WR,752062
Donteea Dye,3000,0.0,WR,870722
Texans,2900,2.4,DST,325
Jets,2900,10.5,DST,352
Jacob Tamme,2900,8.4,TE,225194
Ladarius Green,2900,13.4,TE,468704
Giants,2800,7.4,DST,351
Jared Cook,2800,6.4,TE,296480
Chiefs,2700,5.0,DST,339
Dolphins,2700,3.3,DST,345
Eagles,2700,9.2,DST,354
Heath Miller,2700,8.1,TE,156795
Dwayne Allen,2700,4.6,TE,463515
Chris Gragg,2700,1.3,TE,465638
Lions,2600,8.2,DST,334
Titans,2600,7.3,DST,336
Steelers,2600,8.4,DST,356
Chargers,2600,4.6,DST,357
Buccaneers,2600,7.0,DST,362
Maxx Williams,2600,3.3,TE,651658
Cowboys,2500,5.0,DST,331
Redskins,2500,7.2,DST,363
Mike Leach,2500,0.0,TE,25500
Craig Stevens,2500,2.1,TE,213961
Marcedes Lewis,2500,1.8,TE,214197
Scott Chandler,2500,4.2,TE,215769
Matt Spaeth,2500,0.0,TE,215944
Anthony Fasano,2500,6.5,TE,217412
Brent Celek,2500,4.6,TE,229510
Brandon Pettigrew,2500,3.0,TE,251803
Kellen Davis,2500,0.0,TE,264657
Brandon Myers,2500,2.4,TE,264810
Darren Fells,2500,6.7,TE,266414
Tony Moeaki,2500,0.0,TE,285116
David Johnson,2500,0.0,TE,288291
Clay Harbor,2500,4.1,TE,293037
Ed Dickson,2500,3.5,TE,296060
Chase Coffman,2500,8.2,TE,300037
Garrett Graham,2500,2.6,TE,300561
Andrew DePaola,2500,0.0,TE,300580
Richie Brockel,2500,0.0,TE,303964
Anthony McCoy,2500,0.0,TE,322836
Jim Dray,2500,0.8,TE,322988
John Phillips,2500,2.9,TE,323332
Rob Housler,2500,0.3,TE,324897
Kyle Nelson,2500,0.0,TE,324970
Matthew Mulligan,2500,0.2,TE,325844
Lance Kendricks,2500,4.3,TE,332066
Jermaine Gresham,2500,2.0,TE,333278
Jeff Cumberland,2500,1.0,TE,333361
Michael Hoomanawanui,2500,0.4,TE,333398
Lee Smith,2500,1.4,TE,334184
Luke Stocker,2500,0.0,TE,334186
Rhett Ellison,2500,0.3,TE,399295
Garrett Celek,2500,6.6,TE,403184
James Hanna,2500,0.6,TE,447735
Jake Stoneburner,2500,7.2,TE,448014
Mychal Rivera,2500,3.1,TE,459200
Cory Harkey,2500,0.3,TE,461730
Beau Brinkley,2500,0.0,TE,463435
Kevin McDermott,2500,0.0,TE,464150
Tim Wright,2500,2.0,TE,464779
Michael Williams,2500,0.6,TE,465625
Luke Willson,2500,3.2,TE,466869
Josh Hill,2500,3.2,TE,469509
James Winchester,2500,0.0,TE,472623
Jack Doyle,2500,1.4,TE,477386
Vance McDonald,2500,1.5,TE,494969
Levine Toilolo,2500,1.5,TE,503205
Justice Cunningham,2500,0.0,TE,504318
Gavin Escobar,2500,2.3,TE,507656
Dion Sims,2500,0.0,TE,511525
Jerome Cunningham,2500,1.3,TE,512900
Nic Jacobs,2500,0.0,TE,540517
Cooper Helfet,2500,0.0,TE,540681
Crockett Gillmore,2500,12.4,TE,541468
Trey Burton,2500,0.0,TE,542788
Blake Bell,2500,0.9,TE,542871
James O'Shaughnessy,2500,1.8,TE,552352
MyCole Pruitt,2500,0.0,TE,552586
Cameron Brate,2500,0.6,TE,552926
Will Tye,2500,4.4,TE,553297
Chase Ford,2500,0.0,TE,553604
Clive Walford,2500,1.4,TE,553616
C.J. Fiedorowicz,2500,3.5,TE,553670
Brian Parker,2500,0.0,TE,556849
Demetrius Harris,2500,0.0,TE,602269
Nick Boyle,2500,2.8,TE,608753
Troy Niklas,2500,0.0,TE,610949
Phillip Supernaw,2500,0.0,TE,616339
Jesse James,2500,0.0,TE,652019
Derek Carrier,2500,3.5,TE,654887
Geoff Swaim,2500,0.5,TE,728021
E.J. Bibbs,2500,0.0,TE,733427
Raiders,2400,7.0,DST,341
Rams,2400,9.6,DST,343
Jaguars,2400,3.4,DST,365
Browns,2300,4.8,DST,329
Colts,2300,5.4,DST,338
49ers,2100,3.4,DST,359
Saints,2000,6.3,DST,350
